run_id,day,hydro_id,water_a,water_b,water_c,water_min_m3,water_max_m3,max_output_mw,all_finite,min_not_above_max,nonnegative_bounds,status
20260811_155000_stage_B_2C_30day_full_final,20,1,0.001,16.41,352.86000000000001,34463.269999999997,38292.519999999997,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,20,2,0.001,16.420000000000002,352.94999999999999,34906.730000000003,38785.260000000002,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,20,3,0.001,16.510000000000002,355.26999999999998,18048.439999999999,20053.82,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,20,4,0.001,16.539999999999999,355.56999999999999,18259.790000000001,20288.650000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,21,1,0.001,16.41,352.86000000000001,35046.139999999999,38940.160000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,21,2,0.001,16.420000000000002,352.94999999999999,34218.529999999999,38020.589999999997,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,21,3,0.001,16.510000000000002,355.26999999999998,18099.869999999999,20110.970000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,21,4,0.001,16.539999999999999,355.56999999999999,18383.810000000001,20426.459999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,22,1,0.001,16.41,352.86000000000001,34512.889999999999,38347.660000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,22,2,0.001,16.420000000000002,352.94999999999999,34975.57,38861.739999999998,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,22,3,0.001,16.510000000000002,355.26999999999998,18086,20095.549999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,22,4,0.001,16.539999999999999,355.56999999999999,18750.080000000002,20833.419999999998,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,23,1,0.001,16.41,352.86000000000001,34619.830000000002,38466.480000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,23,2,0.001,16.420000000000002,352.94999999999999,34257.110000000001,38063.459999999999,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,23,3,0.001,16.510000000000002,355.26999999999998,18610.790000000001,20678.66,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,23,4,0.001,16.539999999999999,355.56999999999999,18790.66,20878.509999999998,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,24,1,0.001,16.41,352.86000000000001,34572.720000000001,38414.129999999997,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,24,2,0.001,16.420000000000002,352.94999999999999,34905.239999999998,38783.599999999999,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,24,3,0.001,16.510000000000002,355.26999999999998,18177.650000000001,20197.389999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,24,4,0.001,16.539999999999999,355.56999999999999,18463.490000000002,20514.990000000002,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,25,1,0.001,16.41,352.86000000000001,34665.690000000002,38517.43,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,25,2,0.001,16.420000000000002,352.94999999999999,34554.620000000003,38394.019999999997,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,25,3,0.001,16.510000000000002,355.26999999999998,18699,20776.669999999998,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,25,4,0.001,16.539999999999999,355.56999999999999,18490.080000000002,20544.529999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,26,1,0.001,16.41,352.86000000000001,34337.839999999997,38153.160000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,26,2,0.001,16.420000000000002,352.94999999999999,34535.139999999999,38372.379999999997,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,26,3,0.001,16.510000000000002,355.26999999999998,18032.09,20035.66,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,26,4,0.001,16.539999999999999,355.56999999999999,18427.389999999999,20474.880000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,27,1,0.001,16.41,352.86000000000001,34883.639999999999,38759.599999999999,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,27,2,0.001,16.420000000000002,352.94999999999999,34378.510000000002,38198.339999999997,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,27,3,0.001,16.510000000000002,355.26999999999998,18117.060000000001,20130.07,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,27,4,0.001,16.539999999999999,355.56999999999999,18438.630000000001,20487.369999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,28,1,0.001,16.41,352.86000000000001,34939.610000000001,38821.790000000001,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,28,2,0.001,16.420000000000002,352.94999999999999,34210.349999999999,38011.5,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,28,3,0.001,16.510000000000002,355.26999999999998,18227.470000000001,20252.740000000002,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,28,4,0.001,16.539999999999999,355.56999999999999,18865.029999999999,20961.139999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,29,1,0.001,16.41,352.86000000000001,35074.849999999999,38972.050000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,29,2,0.001,16.420000000000002,352.94999999999999,34903.199999999997,38781.330000000002,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,29,3,0.001,16.510000000000002,355.26999999999998,18013.330000000002,20014.810000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,29,4,0.001,16.539999999999999,355.56999999999999,18837.299999999999,20930.330000000002,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,30,1,0.001,16.41,352.86000000000001,34796.589999999997,38662.879999999997,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,30,2,0.001,16.420000000000002,352.94999999999999,34275.849999999999,38084.279999999999,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,30,3,0.001,16.510000000000002,355.26999999999998,18353.560000000001,20392.84,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,30,4,0.001,16.539999999999999,355.56999999999999,18425.73,20473.029999999999,150,true,true,true,PASS
