day,hydro_id,Wmin,W,Wmax,lower_margin,upper_margin,lower_violation,upper_violation,maximum_violation,status,physical_source,independent_daily_scope
20,2,34906.730000000003,38738.036663220075,38785.260000000002,3831.3066632200716,47.223336779927195,0,0,0,PASS,final_unscaled_PH,true
20,3,18048.439999999999,20011.388111953049,20053.82,1962.9481119530501,42.431888046950917,0,0,0,PASS,final_unscaled_PH,true
20,4,18259.790000000001,20245.683910596417,20288.650000000001,1985.8939105964164,42.966089403584192,0,0,0,PASS,final_unscaled_PH,true
21,1,35046.139999999999,38784.08417267495,38940.160000000003,3737.9441726749501,156.07582732505398,0,0,0,PASS,final_unscaled_PH,true
21,2,34218.529999999999,37868.683351267326,38020.589999999997,3650.1533512673268,151.90664873267087,0,0,0,PASS,final_unscaled_PH,true
21,3,18099.869999999999,20004.309597301919,20110.970000000001,1904.43959730192,106.66040269808218,0,0,0,PASS,final_unscaled_PH,true
21,4,18383.810000000001,20317.406335155127,20426.459999999999,1933.5963351551254,109.0536648448724,0,0,0,PASS,final_unscaled_PH,true
22,1,34512.889999999999,38291.642412608453,38347.660000000003,3778.7524126084536,56.017587391550478,0,0,0,PASS,final_unscaled_PH,true
22,2,34975.57,38805.057490325329,38861.739999999998,3829.4874903253294,56.682509674668836,0,0,0,PASS,final_unscaled_PH,true
22,3,18086,20045.213806760956,20095.549999999999,1959.2138067609558,50.336193239043496,0,0,0,PASS,final_unscaled_PH,true
22,4,18750.080000000002,20781.295446979904,20833.419999999998,2031.2154469799025,52.124553020094027,0,0,0,PASS,final_unscaled_PH,true
23,1,34619.830000000002,38425.953426846332,38466.480000000003,3806.1234268463304,40.526573153671052,0,0,0,PASS,final_unscaled_PH,true
23,2,34257.110000000001,38023.214061603641,38063.459999999999,3766.1040616036407,40.245938396357815,0,0,0,PASS,final_unscaled_PH,true
23,3,18610.790000000001,20638.321928714187,20678.66,2027.5319287141865,40.338071285812475,0,0,0,PASS,final_unscaled_PH,true
23,4,18790.66,20837.813975458048,20878.509999999998,2047.1539754580481,40.696024541950464,0,0,0,PASS,final_unscaled_PH,true
24,1,34572.720000000001,38271.223436165885,38414.129999999997,3698.5034361658836,142.9065638341126,0,0,0,PASS,final_unscaled_PH,true
24,2,34905.239999999998,38638.308932063097,38783.599999999999,3733.0689320630991,145.29106793690153,0,0,0,PASS,final_unscaled_PH,true
24,3,18177.650000000001,20131.247647046275,20197.389999999999,1953.5976470462738,66.142352953724185,0,0,0,PASS,final_unscaled_PH,true
24,4,18463.490000000002,20444.885360618919,20514.990000000002,1981.395360618917,70.104639381082961,0,0,0,PASS,final_unscaled_PH,true
25,1,34665.690000000002,38496.756690017472,38517.43,3831.0666900174692,20.673309982528735,0,0,0,PASS,final_unscaled_PH,true
25,2,34554.620000000003,38373.364955305799,38394.019999999997,3818.7449553057959,20.655044694198295,0,0,0,PASS,final_unscaled_PH,true
25,3,18699,20754.775124324056,20776.669999999998,2055.7751243240564,21.894875675941876,0,0,0,PASS,final_unscaled_PH,true
25,4,18490.080000000002,20522.755169410779,20544.529999999999,2032.675169410777,21.774830589220073,0,0,0,PASS,final_unscaled_PH,true
26,1,34337.839999999997,38037.18220073366,38153.160000000003,3699.342200733663,115.97779926634394,0,0,0,PASS,final_unscaled_PH,true
26,2,34535.139999999999,38255.725100207528,38372.379999999997,3720.5851002075287,116.65489979246922,0,0,0,PASS,final_unscaled_PH,true
26,3,18032.09,19945.915128002212,20035.66,1913.8251280022123,89.744871997787413,0,0,0,PASS,final_unscaled_PH,true
26,4,18427.389999999999,20382.640018005604,20474.880000000001,1955.2500180056049,92.239981994396658,0,0,0,PASS,final_unscaled_PH,true
27,1,34883.639999999999,38702.650721444996,38759.599999999999,3819.0107214449963,56.94927855500282,0,0,0,PASS,final_unscaled_PH,true
27,2,34378.510000000002,38142.228485091073,38198.339999999997,3763.7184850910708,56.111514908923709,0,0,0,PASS,final_unscaled_PH,true
27,3,18117.060000000001,20079.101805834849,20130.07,1962.0418058348478,50.968194165150635,0,0,0,PASS,final_unscaled_PH,true
27,4,18438.630000000001,20435.490397771078,20487.369999999999,1996.8603977710773,51.879602228920703,0,0,0,PASS,final_unscaled_PH,true
28,1,34939.610000000001,38759.361742899331,38821.790000000001,3819.7517428993306,62.428257100669725,0,0,0,PASS,final_unscaled_PH,true
28,2,34210.349999999999,37950.132210120224,38011.5,3739.7822101202255,61.367789879775955,0,0,0,PASS,final_unscaled_PH,true
28,3,18227.470000000001,20199.77025237057,20252.740000000002,1972.3002523705691,52.969747629431367,0,0,0,PASS,final_unscaled_PH,true
28,4,18865.029999999999,20905.73330914912,20961.139999999999,2040.7033091491212,55.406690850879386,0,0,0,PASS,final_unscaled_PH,true
29,1,35074.849999999999,38967.770211080875,38972.050000000003,3892.9202110808765,4.2797889191278955,0,0,0,PASS,final_unscaled_PH,true
29,2,34903.199999999997,38776.988347017701,38781.330000000002,3873.7883470177039,4.3416529823007295,0,0,0,PASS,final_unscaled_PH,true
29,3,18013.330000000002,20008.083832689743,20014.810000000001,1994.7538326897411,6.7261673102584609,0,0,0,PASS,final_unscaled_PH,true
29,4,18837.299999999999,20923.581666599657,20930.330000000002,2086.2816665996579,6.7483334003445634,0,0,0,PASS,final_unscaled_PH,true
30,1,34796.589999999997,38609.377587000003,38662.879999999997,3812.7875870000062,53.502412999994704,0,0,0,PASS,final_unscaled_PH,true
30,2,34275.849999999999,38031.545709104386,38084.279999999999,3755.6957091043878,52.734290895612503,0,0,0,PASS,final_unscaled_PH,true
30,3,18353.560000000001,20343.805682692517,20392.84,1990.2456826925154,49.034317307483434,0,0,0,PASS,final_unscaled_PH,true
30,4,18425.73,20423.802866095019,20473.029999999999,1998.072866095019,49.227133904980292,0,0,0,PASS,final_unscaled_PH,true
