run_id,day,wind_mwh,solar_mwh,hydro_mwh,thermal_mwh,storage_charge_mwh,storage_discharge_mwh,net_storage_supply_mwh,total_generation_mwh
20260831_073237_stage_B_3f3f96b3,214,12416.506765312042,24427.433121152575,13642.868331363072,39908.791224973887,7345.2602252714132,5949.6607824698449,-1395.5994428015683,90395.599442801584
20260831_073237_stage_B_3f3f96b3,215,17800.201650590345,22994.006847268476,13655.010234444617,40290.316599219055,6471.2385869604732,5241.7032554379994,-1229.5353315224738,94739.535331522493
20260831_073237_stage_B_3f3f96b3,216,30281.582929690085,27313.899416646869,13557.058229044067,39220.742397403672,7069.9103830774347,5726.6274102927237,-1343.2829727847111,110373.28297278468
20260831_073237_stage_B_3f3f96b3,217,34066.640903557789,29537.497337635126,13655.813213221103,40370.407300241088,8738.7302876584599,7078.371533003351,-1660.3587546551089,117630.35875465511
20260831_073237_stage_B_3f3f96b3,218,20173.313590044032,22343.814135602468,13589.812329452003,39777.645563555358,7234.6611508099086,5860.0755321560291,-1374.5856186538795,95884.585618653859
20260831_073237_stage_B_3f3f96b3,219,19038.536868616018,24966.365838435253,13622.185457788913,40329.405337288918,7192.0710638375513,5825.5775617084155,-1366.4935021291358,97956.493502129102
20260831_073237_stage_B_3f3f96b3,220,27277.345325429054,23998.139518050288,13617.197181265437,40137.288896853541,8578.7943242017736,6948.8234026034352,-1629.9709215983385,105029.97092159832
20260831_073237_stage_B_3f3f96b3,221,48526.122035543325,21951.047442396892,13444.965618039896,39588.432981920028,8739.8319889482937,7079.2639110481168,-1660.5680779001768,123510.56807790013
20260831_073237_stage_B_3f3f96b3,222,55696.692514672613,15357.249836343957,13476.056547563083,39462.720804089797,7803.7879087865194,6321.0682061170801,-1482.7197026694394,123992.71970266945
20260831_073237_stage_B_3f3f96b3,223,51926.671352501311,28991.959224007704,13470.447936200211,39885.023784939229,8495.2752507811383,6881.1729531327228,-1614.1022976484155,134274.10229764847
20260831_073237_stage_B_3f3f96b3,224,52333.646145347855,25110.32958184438,13492.945767966496,39914.000261648216,9110.1145095100401,7379.1927527031312,-1730.9217568069089,130850.92175680696
20260831_073237_stage_B_3f3f96b3,225,87866.565963508401,26002.673601578994,13569.137796470643,41177.009742556445,8607.3005479709991,6971.9134438565061,-1635.387104114493,168615.38710411449
20260831_073237_stage_B_3f3f96b3,226,83978.439420946175,13774.026695289242,13428.760591432734,39121.242941339609,8381.4192053041406,6788.9495562963566,-1592.469649007784,150302.46964900775
20260831_073237_stage_B_3f3f96b3,227,62204.130191803342,24976.74347516082,13399.350994208999,38371.711591961292,8115.4539638656097,6573.517710731142,-1541.9362531344677,138951.93625313445
20260831_073237_stage_B_3f3f96b3,228,36099.166709767742,19961.253130252881,13515.157905903483,39486.522435084371,8695.264110570879,7043.1639295624127,-1652.1001810084663,109062.10018100849
20260831_073237_stage_B_3f3f96b3,229,55937.032684442362,23287.317788785491,13558.297725465649,40548.664090782884,8638.4857340862491,6997.1734446098581,-1641.312289476391,133331.31228947639
20260831_073237_stage_B_3f3f96b3,230,47017.156471044014,27520.25879943274,13601.391015460133,40703.696732115335,8802.6474634326732,7130.1444453804688,-1672.5030180522044,128842.50301805222
20260831_073237_stage_B_3f3f96b3,231,32035.630609102947,24271.463493529736,13471.174849339435,39970.441247566734,7309.0010502046098,5920.2908506657286,-1388.7101995388812,109748.71019953885
20260831_073237_stage_B_3f3f96b3,232,40919.808204150497,29033.675409266434,13478.544082516466,39923.256270390448,8554.1261385465605,6928.8421722227158,-1625.2839663238447,123355.28396632386
20260831_073237_stage_B_3f3f96b3,233,53749.679735333331,27535.954561441209,13484.344411856313,40371.354083164661,8849.1199568186257,7167.7871650230873,-1681.3327917955385,135141.33279179552
20260831_073237_stage_B_3f3f96b3,234,82649.129203285542,32087.384716886088,13495.870333766827,40675.950985148789,8201.7644162488323,6643.4291771615508,-1558.3352390872815,168908.33523908723
20260831_073237_stage_B_3f3f96b3,235,69487.725244159257,26314.826895474962,13501.796921811823,39481.636793409663,8031.5044992407638,6505.518644385018,-1525.9858548557459,148785.98585485571
20260831_073237_stage_B_3f3f96b3,236,39844.066064449333,20565.604187233057,13578.858350588527,39565.642018032733,7758.7927384402901,6284.6221181366382,-1474.170620303652,113554.17062030366
20260831_073237_stage_B_3f3f96b3,237,40221.39375971508,28969.600608392488,13461.521713163056,38436.644597639388,8574.5298889999431,6945.3692100899552,-1629.1606789099878,121089.16067891
20260831_073237_stage_B_3f3f96b3,238,44042.425217475291,25843.635346028565,13513.487308239975,38382.627058995153,7116.71016178424,5764.5352310452708,-1352.1749307389691,121782.17493073898
20260831_073237_stage_B_3f3f96b3,239,24103.580382877892,28949.302012169414,13553.585607404804,39377.066954759102,8334.3945116380037,6750.8595544267837,-1583.53495721122,105983.5349572112
20260831_073237_stage_B_3f3f96b3,240,25018.892847907777,23668.385578914582,13599.941582627367,40308.750238042609,8189.3170920650018,6633.3468445726512,-1555.9702474923506,102595.97024749234
20260831_073237_stage_B_3f3f96b3,241,9909.0921946535218,27120.4299180741,13580.51445620039,39932.740007687142,7277.7714558692387,5894.9948792540854,-1382.7765766151533,90542.776576615157
20260831_073237_stage_B_3f3f96b3,242,18631.473439453675,27850.684835703534,13566.850391738739,39426.212610778952,8448.5330403942316,6843.3117627193305,-1605.2212776749011,99475.221277674907
20260831_073237_stage_B_3f3f96b3,243,18300.768686549676,28355.233043959164,13545.25178509603,39550.256538779227,7586.8950230741457,6145.3849686900548,-1441.5100543840908,99751.510054384096
20260831_073237_stage_B_3f3f96b3,244,43012.327831839451,20162.521620590232,9783.4922586908015,40847.561798173192,6715.2816278614346,5439.378118567759,-1275.9035092936756,113805.90350929368
20260831_073237_stage_B_3f3f96b3,245,72264.744042029619,22114.631694867538,9701.1536938819063,38937.155320587088,7303.6039545587901,5915.9192031926368,-1387.6847513661533,143017.68475136615
20260831_073237_stage_B_3f3f96b3,246,32615.672317624692,29616.063321037167,9804.8358106268042,40237.676067124412,8074.986928489885,6540.7394120768067,-1534.2475164130783,112274.24751641307
20260831_073237_stage_B_3f3f96b3,247,69251.974076928658,30255.464953039871,9717.9726419669551,39361.683690641243,7563.6598030354917,6126.564440458732,-1437.0953625767597,148587.09536257674
20260831_073237_stage_B_3f3f96b3,248,24468.880558267534,30637.025911661658,9785.7546532703091,39183.668057035415,7501.7325275521698,6076.403347317254,-1425.3291802349158,104075.32918023493
20260831_073237_stage_B_3f3f96b3,249,18770.037543042119,29268.233319315426,9829.0828266347653,40631.93764799535,6943.6386157243969,5624.3472787367618,-1319.2913369876351,98499.291336987662
20260831_073237_stage_B_3f3f96b3,250,63530.464434297624,17462.911961836337,9798.7611877837699,40356.381281925802,8044.8361360186782,6516.3172701751273,-1528.5188658435509,131148.51886584354
20260831_073237_stage_B_3f3f96b3,251,28083.05632960147,26113.824858284555,9834.3135914318827,39402.039316630231,7280.1794523585795,5896.9453564104524,-1383.2340959481271,103433.23409594814
20260831_073237_stage_B_3f3f96b3,252,22705.815184150579,25025.649535119872,9813.3524645965845,40685.081897170217,6736.3109528276154,5456.4118717903621,-1279.8990810372534,98229.899081037263
20260831_073237_stage_B_3f3f96b3,253,12801.05578843189,27929.394888989245,9798.401049495571,40936.344479714724,6922.0852980601576,5606.8890914287267,-1315.1962066314309,91465.19620663143
20260831_073237_stage_B_3f3f96b3,254,91619.089570541095,30320.859896981761,9808.0037844825565,42339.815617755106,6409.3098408451606,5191.5409710845788,-1217.7688697605818,174087.7688697605
20260831_073237_stage_B_3f3f96b3,255,37755.65999382743,25980.233405190305,9813.3286255189887,40576.215126418574,7712.8271102911549,6247.3899593358328,-1465.4371509553221,114125.43715095529
20260831_073237_stage_B_3f3f96b3,256,13755.714738942441,19451.076451494395,9780.6094358284699,40383.912678996574,7901.6489750626088,6400.3356698007137,-1501.313305261895,83371.31330526188
20260831_073237_stage_B_3f3f96b3,257,42123.925814971481,15032.108826245012,9795.9554952122398,39668.519715051618,7318.4729025282213,5927.9630510478592,-1390.5098514803622,106620.50985148035
20260831_073237_stage_B_3f3f96b3,258,85234.699693369359,15472.023415124164,9756.3829094015655,41344.048382800749,8353.4442141886248,6766.2898134927882,-1587.1544006958366,151807.15440069584
20260831_073237_stage_B_3f3f96b3,259,115453.91841702405,19504.006589164208,9827.4796551991203,42072.739426141758,7148.1267764694403,5789.9826889402457,-1358.1440875291946,186858.14408752913
20260831_073237_stage_B_3f3f96b3,260,78187.605152220203,30229.863888308049,9798.1718101329861,40796.41945559391,8221.370032922061,6659.3097266668683,-1562.0603062551927,159012.06030625515
20260831_073237_stage_B_3f3f96b3,261,106811.31932836647,23538.32743579306,9771.5248661121914,40805.952853418901,7037.4972825819932,5700.3727988914134,-1337.1244836905798,180927.12448369066
20260831_073237_stage_B_3f3f96b3,262,47131.445633048883,28418.173158196314,9795.6860993368682,40667.166294223396,7644.5851831866703,6192.1139983812072,-1452.4711848054631,126012.47118480547
20260831_073237_stage_B_3f3f96b3,263,123322.26633298951,27754.207144213964,9806.6099037868389,42339.790323217581,6541.4405484628041,5298.5668442548713,-1242.8737042079329,203222.87370420789
20260831_073237_stage_B_3f3f96b3,264,87207.690982873246,33155.559600463625,9802.6356212519349,41382.207994596734,7516.2852588713513,6088.1910596857924,-1428.0941991855589,171548.09419918552
20260831_073237_stage_B_3f3f96b3,265,122085.80135609719,27399.131273050596,9789.3354706148311,42364.297516045306,6729.2927147783048,5450.7270989704257,-1278.5656158078791,201638.56561580792
20260831_073237_stage_B_3f3f96b3,266,48838.885803863559,28323.048255359019,9739.0207982663087,38935.856497891575,7141.1123967393269,5784.3010413588445,-1356.8113553804824,125836.81135538046
20260831_073237_stage_B_3f3f96b3,267,28226.625970839352,23812.345238638292,9709.4427140332627,40391.593929995412,7631.6202816121786,6181.6124281058619,-1450.0078535063167,102140.00785350632
20260831_073237_stage_B_3f3f96b3,268,22730.661119125867,26214.347734103721,9798.4846404749005,40552.069580814386,8029.2793395730478,6503.7162650541704,-1525.5630745188773,99295.563074518868
20260831_073237_stage_B_3f3f96b3,269,43961.737280550878,31000.047348113021,9767.8631498558789,39375.267071397349,7604.8149995637095,6159.9001496466044,-1444.9148499171051,124104.91484991713
20260831_073237_stage_B_3f3f96b3,270,118151.43201974242,29671.761613901512,9803.1757349082509,42246.504829115962,6857.2326193062036,5554.3584216380223,-1302.8741976681813,199872.87419766816
20260831_073237_stage_B_3f3f96b3,271,116623.15607419091,30735.536531561378,9821.4634053843529,42418.381063107168,6571.2477591781262,5322.7106849342799,-1248.5370742438463,199598.53707424382
20260831_073237_stage_B_3f3f96b3,272,59237.641729490118,32774.461214395255,9819.6823282780097,38878.260511528482,7210.7672825887703,5840.7214988968935,-1370.0457836918767,140710.04578369186
20260831_073237_stage_B_3f3f96b3,273,20302.625920022245,27685.343011862526,9840.5876614876706,40838.156133732591,7719.5406689739566,6252.8279418689071,-1466.7127271050495,98666.712727105027
20260831_073237_stage_B_3f3f96b3,274,27569.925298452803,26662.201269020701,9785.2705326084579,40965.236546528882,7908.5981400569872,6405.9644934461612,-1502.633646610826,104982.63364661083
20260831_073237_stage_B_3f3f96b3,275,17173.831420691684,26282.677287960614,9792.2557957939189,40854.966888186027,7598.5862770119056,6154.8548843796425,-1443.7313926322631,94103.731392632239
20260831_073237_stage_B_3f3f96b3,276,32156.796161476999,28482.936398508402,9759.8728433636807,38712.970375897457,7960.9251539292009,6448.3493746826553,-1512.5757792465456,109112.57577924654
20260831_073237_stage_B_3f3f96b3,277,22028.135969148156,26935.814686139463,9754.4413596775757,39628.894335409714,7038.3492124995601,5701.0628621246478,-1337.2863503749122,98347.28635037491
20260831_073237_stage_B_3f3f96b3,278,8358.9185436507341,25319.872789018897,9823.5514735106426,40521.256459652759,6755.7856096476044,5472.1863438145592,-1283.5992658330451,84023.599265833036
20260831_073237_stage_B_3f3f96b3,279,10577.58888975795,24436.315349823326,9838.2520149442935,40597.913106491716,7000.3650579857076,5670.2956969684237,-1330.0693610172839,85450.069361017289
20260831_073237_stage_B_3f3f96b3,280,78833.746174714877,30179.18985166866,9837.4440700889372,41659.537347470243,6789.0391786457258,5499.121734703037,-1289.9174439426888,160509.91744394272
20260831_073237_stage_B_3f3f96b3,281,119654.61920333764,22166.732488893005,9800.3313683979213,42247.704933052468,6575.7262825317202,5326.3382888506922,-1249.3879936810281,193869.38799368104
20260831_073237_stage_B_3f3f96b3,282,121580.46838096921,6128.4796507940273,9807.4452973398238,41540.235109238129,8140.1496754798227,6593.5212371386569,-1546.6284383411657,179056.6284383412
20260831_073237_stage_B_3f3f96b3,283,110698.24637378978,10458.304364739273,9774.2493542603806,41623.116448140259,8178.50811015606,6624.5915692264098,-1553.9165409296502,172553.9165409297
20260831_073237_stage_B_3f3f96b3,284,117363.14368567996,21143.120821276909,9744.8338563826128,42685.590889705745,7140.4697528697307,5783.7804998244819,-1356.6892530452487,190936.68925304522
20260831_073237_stage_B_3f3f96b3,285,116894.21300801079,29868.324107634726,9842.2542735875777,42245.511012951531,6159.4863272875282,4989.1839251028969,-1170.3024021846313,198850.30240218461
20260831_073237_stage_B_3f3f96b3,286,79469.236308748659,10637.292821555104,9831.5362921902488,41022.839360690341,8636.3409641283961,6995.4361809440006,-1640.9047831843955,140960.90478318435
20260831_073237_stage_B_3f3f96b3,287,110470.90771443125,7308.2312022448577,9771.4702824822343,41423.004699295336,8440.0731497561974,6836.4592513025191,-1603.6138984536783,168973.61389845368
20260831_073237_stage_B_3f3f96b3,288,108576.85380885888,12296.104906705317,9813.8044690320876,41446.880681403403,8387.5992947348896,6793.9554287352612,-1593.6438659996284,172133.64386599968
20260831_073237_stage_B_3f3f96b3,289,120739.51285692734,7333.5977705421956,9800.0102220972967,41622.794300079382,8346.9218402433289,6761.0066905970962,-1585.9151496462327,179495.9151496462
20260831_073237_stage_B_3f3f96b3,290,121869.73325252345,14028.737126820512,9748.8151070868917,42266.780736063563,7231.9274868126267,5857.8612643182278,-1374.066222494399,187914.06622249441
20260831_073237_stage_B_3f3f96b3,291,79978.192583631855,13899.787816995107,9782.0221413115669,38818.757553340467,7888.2110277842494,6389.4509325052441,-1498.7600952790053,142478.76009527899
20260831_073237_stage_B_3f3f96b3,292,23030.825304378159,15037.244958498728,9779.2312118748832,40035.782196357664,8647.8087953128615,7004.7251242034154,-1643.0836711094462,87883.083671109431
20260831_073237_stage_B_3f3f96b3,293,81489.849500814977,11242.198571488321,9824.1813687173308,41048.677379603396,8078.4569506529442,6543.5501300288834,-1534.9068206240609,143604.90682062402
20260831_073237_stage_B_3f3f96b3,294,108952.16467153409,13099.083289863733,9807.0318663770413,41503.232605158191,8165.8549101741892,6614.3424772410917,-1551.5124329330974,173361.51243293303
20260831_073237_stage_B_3f3f96b3,295,121175.68282399779,8632.4390154442681,9717.7697010187348,41763.455878957895,7838.6706285195914,6349.3232091008695,-1489.347419418722,181289.34741941869
20260831_073237_stage_B_3f3f96b3,296,94550.681507474073,21670.541114266107,9762.4900568605735,41517.065799816774,7477.7814653551395,6057.0029869376613,-1420.7784784174783,167500.77847841752
20260831_073237_stage_B_3f3f96b3,297,100544.03114776577,30492.3113400896,9749.8771846345935,42111.83695460319,7252.9296162801711,5874.872989186937,-1378.0566270932341,182898.05662709317
20260831_073237_stage_B_3f3f96b3,298,53119.615495018086,30587.621864747514,9766.431248345114,38884.455966275149,7148.0240757149668,5789.8995013291233,-1358.1245743858435,132358.12457438587
20260831_073237_stage_B_3f3f96b3,299,15879.070769073292,26534.988537477635,9758.2385696791534,40782.643275036862,7552.3218487733147,6117.3806975063853,-1434.9411512669294,92954.941151266947
20260831_073237_stage_B_3f3f96b3,300,73696.322469324921,29103.488838300324,9744.3082278587517,40020.282649479464,7391.590447176266,5987.1882622127769,-1404.4021849634892,152564.40218496346
20260831_073237_stage_B_3f3f96b3,301,92932.394128894564,12249.218098543204,9816.8710754177737,41847.811825516394,6980.5006756417652,5654.2055472698266,-1326.2951283719385,156846.29512837194
20260831_073237_stage_B_3f3f96b3,302,38059.579174857987,8916.3964928669502,9869.8211637434761,40903.177163731663,7573.5473431585378,6134.5733479584142,-1438.9739952001237,97748.973995200067
